srno,name,warattack,clancapital,clangames,clangamesmaxed,clanscore
1,KING SEENU,40,0,0,0,40
2,A_MIRAH,6,0,0,0,6
3,BONH,18,0,0,0,18
4,TVOY,22,2,0,0,24
5,SHARPZY,9,0,0,0,9
6,SAKLEN,4,7,2,0,13
7,KING SEENU2,5,0,0,0,5
8,BAJIRAV,1,0,0,0,1
9,DAMIAN,0,0,0,0,0
10,Mohammad Jeddi,6,0,1,0,7
11,spa ek,20,1,0,0,21
12,Deep,8,3,2,0,13
13,Hannah,0,9,1,0,10
14,Younes,0,1,0,0,1
15,paul,0,1,0,0,1
16,AR Rasel@,0,1,0,0,1
17,PRODIP,1,0,0,0,1
18,rilof,0,1,0,0,1
19,sb1010,0,1,0,0,1
20,Matt Ox,1,1,0,0,2
21,Janaka anuruddh,0,3,2,0,5
22,Tempete de feu,0,2,0,0,2
23,TIRTHA,0,3,0,0,3
24,podda2,1,2,0,0,3
25,Cat,0,1,0,0,1
26,griff,3,1,0,0,4
27,coc,5,2,0,0,7
28,ANSAAR75,5,6,4,2,19
29,TOFITA,25,11,4,0,40
30,Mdoge,2,2,2,0,6
31,abhi,0,3,0,0,3
32,erase,5,5,1,1,11
33,am.ak,1,7,1,0,9
34,Jaryn,7,2,0,0,9
35,Dr.Neuro,0,4,0,0,4
36,NdaHH_,1,0,0,0,1
37,Spider-Man,0,4,0,0,4
38,midouja,1,4,0,0,5
39,arthur,0,4,1,0,5
40,Rabrabyeojhan,1,1,0,0,2
41,Brenne s CAMP!,0,1,0,0,1
42,mb102006,0,1,0,0,1
43,real_Maty1255,0,0,0,0,0
44,yungaid,1,1,0,0,2
45,UILeMaNn,0,0,0,0,0
46,Pentium,0,0,1,1,1
47,panda,0,0,1,1,1
48,sreeram.k.y,1,7,2,1,10
49,Kebab,0,0,0,0,0
50,NIKHIL,20,6,1,1,27
51,taghonski,27,16,4,3,55
52,kyaw_ein,73,0,5,0,78
53,karthi,54,10,4,1,68
54,RK79,59,5,3,0,67
55,thank God,3,18,1,0,22
56,Abhi624,11,15,2,1,28
57,itZDeniz1,0,4,0,0,4
58,moiochoa04,0,1,0,0,1
59,evil_dancer,0,7,4,0,11
60,Flare,2,6,0,0,8
61,ligma,1,4,0,0,5
62,Kay M,34,22,3,3,65
63,john cena,1,6,0,0,7
64,ApE_Re@L#22,13,0,0,0,13
65,Mimi7,12,8,1,1,21
66,EivindReus,2,0,1,0,3
67,Oscar,7,18,0,0,25
68,AJ,0,0,0,0,0
69,Connor,9,18,0,0,27
70,mr.lemo,0,0,0,0,0
71,:Pro@:,18,13,1,0,32
72,Mar€lyn,2,1,1,0,4
73,lNeedHealing,0,6,0,0,6
74,its a smurf,0,0,0,0,0
75,hockeypro,0,0,0,0,0
76,PlumpToast,0,15,1,0,16
77,VRK,31,12,6,3,61
78,SidHeart02,19,0,0,0,19
79,Taghonski,0,19,6,0,25
80,the boss,0,0,1,0,1
81,Rahul,0,0,0,0,0
82,levelost,0,0,0,0,0
83,rocking utkarsh,0,0,0,0,0
84,/\//\,8,18,1,0,27
85,^-^Bea^-^,0,6,1,0,7
86,lost my main,0,0,1,0,1
87,TarikulRider,0,0,0,0,0
88,pro player to,2,14,0,0,16
89,Hekskva,3,12,0,0,15
90,Simon,0,0,0,0,0
91,Laza,0,0,0,0,0
92,JensM4A4,0,6,0,0,6
93,LUKAS,0,0,0,0,0
94,xXEskiPeskiXx,7,0,0,0,7
95,DiknBaus,8,4,2,0,14
96,Xbowskill,4,59,6,0,69
97,akash,0,18,0,0,18
98,Rapz,1,0,0,0,1
99,ash,1,30,2,2,35
100,John,0,12,0,0,12
101,Ramshe,1,60,0,0,61
102,GAADER,4,12,1,0,17
103,roan,0,13,1,0,14
104,Little8uddy,49,86,4,4,151
105,Trapsus,53,19,13,0,85
106,Admiral-V,64,133,5,1,202
107,GUDETAMA,34,102,2,1,138
108,Pixyy,60,78,3,3,147
109,MIT PATEL,82,87,4,3,181
110,兲 H⊘ʅ⊘ćäυ₴ҭ,34,66,2,2,104
111,Schmidtyyy,6,0,0,0,6
112,Sk,2,0,0,0,2
113,SPARSH,0,2,0,0,2
114,pstavnee,0,6,0,0,6
115,jai hind,96,233,12,11,461
116,KING,5,9,1,0,15
117,KRUNAL,21,48,1,1,70
118,Rafael,56,69,5,5,150
119,TheBluePurge,42,0,3,1,45
120,iMojamed,0,0,0,0,0
121,Díjú bháí,95,162,6,2,269
122,junmel,0,30,1,0,31
123,Obsidian Matrix,19,30,1,0,50
124,INVECTUS,0,23,0,0,23
125,Zeroed,11,6,1,0,18
126,DärkMatter,9,23,1,1,33
127,crazydog clashs,4,0,0,0,4
128,pнanтoм,19,19,0,0,38
129,maviphi,36,101,3,0,140
130,rydoly,0,150,5,2,160
131,PIYUSH,9,12,0,0,21
132,Izzmanelham,47,104,1,0,152
133,hersun,0,1,0,0,1
134,DIKSHANT,0,1,0,0,1
135,Uncle Hope,167,0,8,5,207
136,madsjeet,184,306,12,11,622
137,Max,34,123,5,2,167
138,jacob,112,138,6,5,280
139,.Nêmmlm.,68,100,6,4,192
140,stressball,44,83,3,0,130
141,THAISENATOR,16,54,2,1,72
142,JAGGU BHAI,2,18,1,0,21
143,Raj,1,77,3,2,84
144,Rajibl,32,65,0,0,97
145,ark316,17,105,3,0,125
146,phil_mcraken,5,54,0,0,59
147,ROMAN EMPIRE,0,3,0,0,3
148,NeptuneDiver,2,12,0,0,14
149,JEFFREY☠️,5,64,1,0,70
150,MALAY,13,12,3,1,28
151,VSL_SMIT...√,36,170,5,4,226
152,carlitos,36,0,0,0,36
153,MrSwaxs,0,30,0,0,30
154,Tarak,13,32,1,1,46
155,Oluf,5,35,0,0,40
156,fail_org,132,286,11,9,517
157,sura,6,11,0,0,17
158,IA BROTHERS,8,18,0,0,26
159,Ballistaaa,151,224,7,5,410
160,LordHoodAs,92,166,2,0,260
161,GOD OF UNDEAD,4,203,2,0,209
162,devil recite,58,220,10,0,288
163,lolilabo,53,124,3,0,180
164,arshul,47,237,3,0,287
165,jonpai,79,167,5,5,271
166,weeb commander,0,30,4,3,42
167,Gówthâm Røñáldò,18,40,0,0,58
168,Nayan,1,90,3,2,97
169,oggy,0,34,1,1,35
170,plunderer,9,43,0,0,52
